Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Melbourne Cricket Ground,2017-02-17,Australia,Sri Lanka,2,8,Sri Lanka,168,6,172,5,0,0,Sri Lanka,field
Simonds Stadium,2017-02-19,Australia,Sri Lanka,2,8,Sri Lanka,173,10,176,8,0,0,Sri Lanka,field
Adelaide Oval,2017-02-22,Australia,Sri Lanka,2,8,Australia,187,6,146,10,0,0,Sri Lanka,field
McLean Park,2017-01-03,New Zealand,Bangladesh,5,9,New Zealand,143,4,141,8,0,0,Bangladesh,bat
Bay Oval,2017-01-06,New Zealand,Bangladesh,5,9,New Zealand,195,7,148,10,0,0,Bangladesh,field
Bay Oval,2017-01-08,New Zealand,Bangladesh,5,9,New Zealand,194,4,167,6,0,0,Bangladesh,field
Eden Park,2017-02-17,New Zealand,South Africa,5,4,South Africa,107,10,185,6,0,0,New Zealand,field
The Rose Bowl,2017-06-21,England,South Africa,3,4,England,143,1,142,3,0,0,South Africa,bat
County Ground,2017-06-23,England,South Africa,3,4,South Africa,171,6,174,8,0,0,England,field
Sophia Gardens,2017-06-25,England,South Africa,3,4,England,181,8,162,7,0,0,South Africa,field
Riverside Ground,2017-09-16,West Indies,England,6,3,West Indies,176,9,155,10,1,0,England,field
Green Park,2017-01-26,India,England,1,3,England,147,7,148,3,0,0,England,field
Vidarbha Cricket Association Stadium,2017-01-29,India,England,1,3,India,144,8,139,6,0,0,England,field
M Chinnaswamy Stadium,2017-02-01,India,England,1,3,India,202,6,127,10,0,0,England,field
Greater Noida Sports Complex Ground,2017-03-08,Afghanistan,Ireland,10,11,Afghanistan,171,4,165,5,0,0,Ireland,bat
Greater Noida Sports Complex Ground,2017-03-10,Afghanistan,Ireland,10,11,Afghanistan,184,8,93,9,0,0,Afghanistan,bat
Greater Noida Sports Complex Ground,2017-03-12,Afghanistan,Ireland,10,11,Afghanistan,233,8,205,10,0,0,Ireland,field
Central Broward Regional Park Stadium Turf Ground,2016-08-27,India,West Indies,1,6,West Indies,244,4,245,6,0,1,India,field
Central Broward Regional Park Stadium Turf Ground,2016-08-28,India,West Indies,1,6,,15,0,143,10,0,1,India,field
Dubai International Cricket Stadium,2016-09-23,Pakistan,West Indies,7,6,Pakistan,116,1,115,10,0,1,Pakistan,field
Dubai International Cricket Stadium,2016-09-24,Pakistan,West Indies,7,6,Pakistan,160,4,144,9,0,1,West Indies,field
Sheikh Zayed Stadium,2016-09-27,Pakistan,West Indies,7,6,Pakistan,108,2,103,5,0,1,Pakistan,field
Sydney Cricket Ground,2018-02-03,New Zealand,Australia,5,2,Australia,117,9,96,3,0,0,Australia,field
Bellerive Oval,2018-02-07,England,Australia,3,2,Australia,155,9,161,5,0,0,Australia,field
